Month,Places
Jan,Central Westgate
Jan,MBK
Jan,Siam
Jan,Central World
Jan,Central Westgate
Jan,Central Westgate
Jan,Ladprao
Jan,Central Westgate
Jan,Central Westville
Jan,Samyan
Jan,MBK
Jan,Central World
Jan,Siam
Jan,Central Westville
Jan,Central Westgate
Feb,MBK
Feb,Siam
Feb,Samyan
Feb,Teenoi
Feb,Kasetsard
Feb,Kasetsard
Feb,Central Pinklao
Feb,Central Pinklao
Feb,Siam
Feb,Kasetsard
Feb,MBK
Feb,Central World
Feb,Central Westgate
Feb,Central Westville
Feb,Central Westgate
Feb,Central Westgate
Feb,Central Westgate
Feb,Mahidol Payathai
Feb,MBK
Feb,Central World
Mar,Central Westville
Mar,Ladprao
Mar,Central Westgate
Mar,MRT
Mar,Central Westgate
Mar,Central Pinklao
Mar,Chonburi
Mar,Chonburi
Mar,Central Westville
Mar,Ladprao
Mar,Central Pinklao
Mar,Changchui
Mar,MRT
Mar,Central Pinklao
Mar,Central Westgate
Mar,Central Westgate
Mar,Central Pinklao
Apr,Queen Sirikit National Convention Center
Apr,Central Westgate
Apr,MRT
Apr,Central Westgate
Apr,Central Pinklao
Apr,Central Westgate
Apr,Central Westville
Apr,Book Event
Apr,Central Westgate
Apr,Ladprao
Apr,Central Pinklao
Apr,Chachengsao
Apr,Chachengsao
Apr,Siam
Apr,Central World
Apr,Ladprao
Apr,Ratchayo
Apr,Central Westgate
Apr,Central Pinklao
Apr,Central Westgate
Apr,Central Westgate
Apr,Southern Bus Terminal
May,Central Pinklao
May,Siam
May,MBK
May,Central World
May,Central Westgate
May,Central Pinklao
May,Chatuchak
May,Central Westgate
May,Teenoi
May,Siam
May,MBK
May,Central World
May,Kasetsard
May,Central Westgate
May,Siew
May,Central Westville
May,Siriraj
May,Wanglang
May,Siam
May,MBK
May,Central World
May,Central Westville
May,Central Westville
June,Kanchanaburi
June,Nakorn Pathom
June,Central Westville
June,Esan Tum Saep
June,Lanlalen
June,Central Pinklao
June,Central Westgate
June,Bangkae
June,Central Pinklao
June,Central Westgate
June,Central Westgate
June,Teenoi
June,Southern Bus Terminal
June,Central Pinklao
June,Central Westgate
June,Chachengsao
June,Central Pinklao
July,Siam
July,MBK
July,Central World
July,Central Westgate
July,Teenoi
July,Central Pinklao
July,Central Westgate
July,Ladprao
July,Central Westgate
July,Ratchayo
July,Central Westgate
July,Central Pinklao
July,Central Westgate
July,Central Westville
July,Central Pinklao
July,Southern Bus Terminal
July,Central Westgate
Aug,Samyan
Aug,MBK
Aug,Siam
Aug,Central World
Aug,Ratchapruek Hospital
Aug,Central Westville
Aug,Central Westgate
Aug,Central Westgate
Aug,Central Westgate
Aug,Ganggrajan
Aug,Cha um
Aug,Central Westville
Sep,Central Westgate
Sep,Central Westville
Sep,Central Westgate
Oct,Central Westgate
Oct,Central Westville
Oct,Central Westville
Oct,Central Pinklao
Oct,Queen Sirikit National Convention Center
Oct,Central Westgate
Oct,Kanchanaburi
Oct,Kanchanaburi
Oct,The Mall Bangkae
Oct,Central Westville
Oct,Central Westville
Nov,Central Westgate
Nov,Ong Nakorn Pathom
Nov,Central Westville
Nov,Central Westgate
Nov,Ganggrajan
Nov,Ganggrajan
Nov,Central Pinklao
Nov,Central Westville
Dec,Central Westgate
Dec,Bitec Mega
Dec,Central Westgate
Dec,Central Westville
Dec,Lumpini Park
Dec,Siam
Dec,Central World
Dec,Central Westville
Dec,Central Westgate
Dec,Thonburi Market
